2016/11/11
Marist 49, Duke 94
Steph. F. Austin 64, Kentucky 87
Kansas 99, Indiana 103
Lafayette 48, Villanova 88
Army West Point 77, Oregon 91
North Carolina 95, Tulane 75
Lehigh 81, Xavier 84
Virginia 76, UNC-Greensboro 51
Central Ark. 47, Wisconsin 79
Arizona 65, Michigan State 63
Evansville 47, Louisville 78
Utah Valley 69, Gonzaga 92
McNeese State 65, Purdue 109
Pacific 80, UCLA 119
Nevada 63, St. Mary's (Cal.) 81
Wagner 67, Connecticut 58
Colgate 55, Syracuse 83
Mt. St. Mary's 59, West Virginia 87
Incarnate Word 73, Texas 78
UMKC 82, Creighton 89
Dartmouth 61, Rhode Island 84
Savannah State 71, Iowa State 113
American 56, Maryland 62
Sewanee 53, Lipscomb 96
Lesley 60, New Hampshire 85
Muskingum 57, Miami (Ohio) 84
SIUE 69, Hawaii 68
Centenary (N.J.) 63, La.-Monroe 96
Linfield 47, Eastern Wash. 70
Mass.-Lowell 76, Massachusetts 90
Greensboro 50, N.C. A&T 67
Louisiana Tech 76, South Carolina 85
Vanderbilt 71, Marquette 95
Nicholls State 79, Boston College 73
Goldey-Beacom 56, Delaware 64
Ga. Southern 79, NC State 81
Sacred Heart 63, Fairfield 85
La Salle 92, Temple 97
Coppin State 72, Hofstra 74
Albany 87, Penn State 81
Md.-East. Shore 71, Geo. Washington 75
Austin Peay 68, Dayton 96
VMI 69, Richmond 72
Thomas (Ga.) 69, Georgia State 111
Fairleigh D'son 70, Seton Hall 91
Florida Mem. 57, FIU 76
Tennessee-Martin 83, Mississippi 86
James Madison 55, Old Dominion 62
Indiana-Kokomo 53, Cent. Michigan 117
Hartford 60, Cent. Conn. St. 75
Chattanooga 82, Tennessee 69
Columbia 73, Stony Brook 66
Georgia 64, Clemson 74
Penn 67, Robert Morris 50
Western Caro. 43, Miami (Fla.) 92
Loyola (Md.) 60, Duquesne 65
Montana State 65, Washington St. 69
Manhattan 64, Bucknell 76
Furman 71, Presbyterian 73
St. Thomas (Minn.) 64, TCU 82
Boston U. 77, Northeastern 87
Fordham 59, East Tenn. St. 96
Earlham 56, Northern Kentucky 96
UNC Asheville 65, VCU 80
Drexel 65, Monmouth 78
Florida A&M 73, South Florida 84
Brown 55, Cincinnati 84
Oral Roberts 61, Baylor 76
Rider 67, Hampton 56
Citadel 68, Charleston 81
Marygrove 74, Western Mich. 90
Molloy 57, Rutgers 86
Eastern Mich. 90, Pittsburgh 93
Bowling Green 70, Oakland 78
John Jay 40, LIU Brooklyn 78
Adrian 69, Detroit 99
Tennessee State 78, UC Davis 64
Radford 59, Wake Forest 80
Houston Baptist 67, Texas Tech 93
FGCU 59, Florida 80
Claflin 64, UNCW 110
Cornell 62, Binghamton 68
Ky. Christian 41, Morehead State 106
Sarah Lawrence 38, NJIT 100
Schreiner 59, Abilene Christian 73
Norfolk State 74, Mississippi St. 78
Morgan State 52, Houston 93
Arkansas State 66, North Dakota St. 76
Southern Utah 65, Valparaiso 79
Baptist Bible 56, Delaware State 103
Campbell 65, Oklahoma State 102
Indiana State 78, Northern Ill. 80
Peace 68, Elon 101
La.-Lafayette 74, Minnesota 86
IPFW 83, Arkansas 92
Ark.-Pine Bluff 66, UAB 86
Webber Int'l 62, Stetson 78
Sul Ross State 77, North Texas 85
Buffalo 76, Niagara 66
Miss. Valley St. 63, Northwestern 94
Wright State 85, Southern Ill. 81
Newberry 88, Charlotte 101
Ball State 85, Saint Louis 64
Illinois State 70, Murray State 73
Toccoa Falls 76, Troy 135
Gardner-Webb 44, SMU 72
Tennessee Tech 55, Georgia Tech 70
Grambling 57, East Carolina 72
Our Lady Of The Lake 100, Texas A&M-C.C. 115
IUPUI 87, Eastern Kentucky 97
Ill.-Springfield 55, Bradley 70
Howard Payne 47, Lamar 90
Jacksonville St. 84, Tulsa 73
LaGrange 67, New Orleans 103
Millsaps 39, Southeastern La. 85
Alabama A&M 62, Missouri State 96
St. Francis (Ill.) 41, Eastern Illinois 83
Alcorn State 44, Loyola Chicago 69
Brewton Parker 53, Mercer 87
Cairn 53, Liberty 81
Antelope Valley 65, Weber State 128
Western Illinois 55, Kansas State 82
