WEEK 1
Friday, August 26, 2016
Hawaii 31, California 51
Thursday, September 1, 2016
Appalachian St. 13, Tennessee 20
Charlotte 14, Louisville 70
Tulane 3, Wake Forest 7
Tennessee-Martin 7, Cincinnati 28
Presbyterian 3, Cent. Michigan 49
Maine 21, Connecticut 24
William & Mary 14, NC State 48
Indiana 34, FIU 13
Weber State 6, Utah State 45
Southern Utah 0, Utah 24
Rice 14, Western Ky. 46
South Carolina 13, Vanderbilt 10
Oregon State 23, Minnesota 30
South Dakota 21, New Mexico 48
Montana State 17, Idaho 20
Jackson State 13, UNLV 63
Friday, September 2, 2016
Kansas State 13, Stanford 26
Furman 13, Michigan State 28
N'western St. 7, Baylor 55
Miss. Valley St. 14, Eastern Mich. 61
Albany 22, Buffalo 16
Ball State 31, Georgia State 21
Colgate 7, Syracuse 33
Army West Point 28, Temple 13
Colorado State 7, Colorado 44
Toledo 31, Arkansas State 10
Cal Poly 27, Nevada 30
Saturday, September 3, 2016
USC 6, Alabama 52
Clemson 19, Auburn 13
Oklahoma 23, Houston 33
LSU 14, Wisconsin 16
Bowling Green 10, Ohio State 77
Hawaii 3, Michigan 63
South Dakota St. 41, TCU 59
Rutgers 13, Washington 48
UCLA 24, Texas A&M 31
Miami (Ohio) 21, Iowa 45
North Carolina 24, Georgia 33
Southeastern La. 7, Oklahoma State 61
UC Davis 28, Oregon 53
Massachusetts 7, Florida 24
Georgia Tech 17, Boston College 14
Howard 13, Maryland 52
Eastern Kentucky 24, Purdue 45
Missouri 11, West Virginia 26
South Alabama 21, Mississippi St. 20
Western Mich. 22, Northwestern 21
Boise State 45, La.-Lafayette 10
Fordham 16, Navy 52
Liberty 13, Virginia Tech 36
Villanova 7, Pittsburgh 28
Abilene Christian 21, Air Force 37
Richmond 37, Virginia 20
Kent State 13, Penn State 33
Murray State 3, Illinois 52
Texas State 56, Ohio 54
Louisiana Tech 20, Arkansas 21
Austin Peay 17, Troy 57
Florida A&M 3, Miami (Fla.) 70
Savannah State 0, Ga. Southern 54
Western Caro. 7, East Carolina 52
Southern Ill. 30, Florida Atlantic 38
N.C. Central 6, Duke 49
VMI 24, Akron 47
Towson 20, South Florida 56
Alabama A&M 0, Middle Tenn. 55
SMU 34, North Texas 21
S. Carolina St. 0, UCF 38
Southern Univ. 21, La.-Monroe 38
Southeast Mo. St. 17, Memphis 35
Alabama State 13, UTSA 26
San Jose State 10, Tulsa 45
Rhode Island 6, Kansas 55
Southern Miss 44, Kentucky 35
New Mexico St. 22, UTEP 38
Fresno State 10, Nebraska 43
Eastern Wash. 45, Washington St. 42
Coastal Caro. 38, Lamar 14
Steph. F. Austin 17, Texas Tech 69
UNI 25, Iowa State 20
